country,nerdy_scale,continent,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,nerdy_selfreport
GB,3.769230769,Europe,4,5,6,7,6,7,6,2,6,1,6
PL,4.307692308,Europe,1,6,3,7,6,7,1,6,1,1,7
IT,2.692307692,Europe,3,7,5,4,7,7,7,7,3,1,6
GB,2.230769231,Europe,6,6,7,5,3,2,6,3,4,5,6
IT,2.807692308,Europe,4,7,2,5,5,3,6,7,4,2,5
IE,1.807692308,Europe,5,6,5,7,5,6,7,6,5,2,5
FI,3.961538462,Europe,5,6,7,5,7,5,3,3,4,2,6
DE,3.653846154,Europe,2,2,6,5,7,7,6,3,5,5,6
HU,3.384615385,Europe,3,6,7,3,5,5,1,3,6,6,6
DE,3.346153846,Europe,1,5,2,5,6,5,4,7,4,2,3
RO,4.115384615,Europe,3,5,4,1,5,5,3,7,5,1,5
AT,3.730769231,Europe,4,3,5,5,7,6,5,4,3,2,6
UA,4.192307692,Europe,2,3,4,5,6,5,6,6,6,2,5
RS,3.807692308,Europe,2,5,5,7,7,6,5,6,2,1,6
GB,3.269230769,Europe,2,6,4,7,5,4,5,6,2,4,6
GB,4.038461538,Europe,2,7,4,6,7,6,3,6,3,2,5
PT,3.846153846,Europe,5,7,7,7,6,5,6,1,1,1,5
GB,4.269230769,Europe,3,5,7,7,5,7,7,1,2,1,6
PL,3.384615385,Europe,4,7,6,2,7,5,5,5,3,1,5
GB,3.423076923,Europe,2,1,5,7,5,5,7,6,1,2,5
IE,4,Europe,2,1,6,6,7,7,7,5,6,4,7
IT,4.038461538,Europe,5,6,5,7,6,6,5,4,2,1,7
HU,3.230769231,Europe,3,2,5,5,3,2,5,1,2,4,5
DE,2.923076923,Europe,7,6,3,5,6,3,6,6,5,1,6
GB,4.230769231,Europe,1,6,5,6,6,7,5,5,3,1,6
FR,3.846153846,Europe,2,7,7,1,7,2,6,6,6,1,4
GB,3.846153846,Europe,3,2,5,2,3,5,4,3,6,2,6
PT,3.884615385,Europe,1,5,3,7,5,7,6,6,5,5,6
SI,2.653846154,Europe,7,6,5,3,7,2,3,6,6,2,2
GB,3.038461538,Europe,5,2,6,3,7,5,5,2,7,2,6
DE,3.730769231,Europe,6,7,2,7,7,5,7,6,5,1,6
CH,3.961538462,Europe,2,5,4,2,6,6,4,5,7,2,7
SK,3.115384615,Europe,6,5,6,4,7,3,7,4,6,2,5
GB,3.807692308,Europe,3,5,5,2,6,5,2,5,6,2,6
GB,3,Europe,7,3,6,1,6,1,6,3,7,3,5
GB,3.307692308,Europe,1,5,1,7,5,7,5,7,1,2,4
DE,2.961538462,Europe,3,5,1,2,3,5,4,5,3,5,5
NL,3.076923077,Europe,3,2,2,7,5,1,6,5,1,6,6
DE,4.461538462,Europe,2,5,6,2,7,5,4,6,4,1,7
GB,4.461538462,Europe,1,6,6,6,7,2,1,4,1,2,7
AT,3.807692308,Europe,7,6,6,1,6,2,6,2,6,1,7
RS,3.730769231,Europe,6,6,1,4,7,1,5,7,1,1,7
IT,3.961538462,Europe,5,1,3,2,7,7,6,3,6,2,5
GB,3.884615385,Europe,1,7,5,5,5,7,4,3,6,2,7
RO,3.423076923,Europe,5,4,5,3,6,5,3,6,2,4,4
IT,4.192307692,Europe,6,6,2,7,7,1,6,7,1,2,3
GB,3.884615385,Europe,5,6,5,6,7,5,5,5,2,6,6
IT,4.153846154,Europe,1,5,7,7,6,7,1,1,6,4,7
BG,2.538461538,Europe,2,6,6,6,7,3,1,1,5,2,2
GB,3.538461538,Europe,5,6,5,5,7,5,7,4,5,1,6
RO,3.346153846,Europe,7,2,3,2,6,2,6,5,5,2,5
GB,3.769230769,Europe,6,7,5,7,7,4,5,6,4,1,4
GB,3.538461538,Europe,7,4,6,4,7,3,7,2,3,1,6
FI,3.653846154,Europe,6,1,5,5,7,2,6,7,2,2,6
IT,3.730769231,Europe,1,5,6,2,7,7,2,2,6,1,6
PT,3.192307692,Europe,5,4,5,2,6,3,6,5,7,2,5
DE,4,Europe,1,6,7,6,3,7,5,1,3,4,7
DE,4.076923077,Europe,2,6,6,4,0,3,6,1,6,1,6
CH,3.5,Europe,3,4,3,3,7,5,6,7,5,1,4
NO,4.076923077,Europe,3,2,5,6,4,6,4,1,2,1,5
EE,3.384615385,Europe,5,7,6,1,6,5,3,5,7,2,4
GB,3.5,Europe,3,3,4,6,5,5,5,5,5,3,5
GB,2.884615385,Europe,3,2,2,5,5,4,6,6,4,3,4
DE,4.192307692,Europe,5,6,2,0,7,5,7,6,7,2,7
BA,3.538461538,Europe,2,1,6,1,2,6,7,1,7,6,6
NO,3.807692308,Europe,5,5,6,2,6,6,6,3,5,2,6
HR,3.038461538,Europe,6,5,6,5,5,3,6,5,2,2,3
BG,4,Europe,4,6,5,5,7,6,6,3,5,2,6
GB,3.5,Europe,2,6,2,7,5,6,3,2,1,2,4
FR,4.153846154,Europe,3,5,3,6,6,5,5,6,2,2,7
BG,3.461538462,Europe,1,4,5,5,6,5,7,6,3,3,4
DK,4.423076923,Europe,3,6,2,1,7,4,2,7,6,1,6
GB,4.730769231,Europe,2,6,2,3,6,7,5,6,2,5,7
DE,3.038461538,Europe,5,6,2,6,3,3,6,5,1,2,5
GB,4.230769231,Europe,5,5,6,5,3,7,2,5,4,5,6
GB,3.538461538,Europe,5,5,2,5,6,5,7,6,3,2,7
CZ,4.153846154,Europe,5,6,4,5,6,3,5,1,4,1,6
GB,3.846153846,Europe,4,5,5,6,6,5,4,5,1,3,6
GB,4.269230769,Europe,6,6,6,2,7,3,5,2,6,2,6
DE,3.269230769,Europe,2,6,4,3,4,7,4,2,4,5,5
PL,3.961538462,Europe,3,5,6,1,7,7,1,5,7,1,1
ES,4.076923077,Europe,7,6,4,1,7,1,5,4,6,1,6
DE,2.653846154,Europe,5,6,6,3,4,5,5,5,6,3,5
UA,3.538461538,Europe,2,6,6,3,5,6,2,2,5,3,5
RU,3,Europe,3,5,5,5,5,4,3,5,5,5,5
IE,3.923076923,Europe,6,5,4,4,5,4,7,6,6,1,6
GB,3.576923077,Europe,3,5,6,6,6,6,7,3,6,2,6
GB,4.038461538,Europe,2,1,1,2,6,5,7,7,1,1,7
NL,3.769230769,Europe,2,2,7,4,3,6,4,3,6,1,6
DE,3.884615385,Europe,2,4,5,7,6,7,7,3,3,1,7
RS,3.884615385,Europe,3,5,7,1,3,2,5,1,7,5,5
IT,3.5,Europe,5,6,3,4,6,6,6,6,3,3,6
GB,4.5,Europe,2,6,5,3,5,6,2,3,2,5,7
PT,3.192307692,Europe,3,2,6,3,7,5,6,7,6,1,2
FR,3.769230769,Europe,2,6,4,6,6,6,6,5,3,1,5
FI,3.346153846,Europe,2,3,2,5,3,6,5,5,3,2,5
DE,3.576923077,Europe,2,5,6,7,5,7,5,5,1,6,6
BA,4,Europe,7,6,7,5,6,3,6,1,1,1,6
GB,4,Europe,1,5,6,5,6,7,4,4,4,1,1
AT,2.615384615,Europe,4,2,7,2,6,2,7,2,6,1,2
DE,2.653846154,Europe,6,2,6,2,7,4,5,2,6,1,5
IE,3.384615385,Europe,5,5,3,5,0,7,3,6,6,7,5
GB,3.923076923,Europe,2,4,5,7,4,7,7,5,2,5,6
ES,3.384615385,Europe,2,7,6,2,7,7,7,7,3,1,4
HR,2.923076923,Europe,5,5,6,7,3,6,5,5,2,2,6
NO,3.461538462,Europe,6,5,4,2,4,2,6,5,5,5,6
DE,4.461538462,Europe,3,7,5,3,5,6,5,6,5,2,6
PL,3.307692308,Europe,2,5,6,6,5,7,6,2,4,2,5
GB,3.576923077,Europe,3,3,3,5,6,3,6,5,3,3,6
BE,3.730769231,Europe,6,7,5,1,7,5,1,2,7,4,6
NO,3.153846154,Europe,5,2,6,2,6,3,6,7,7,3,6
GB,3.423076923,Europe,6,5,5,5,5,5,5,5,4,4,5
CZ,3.423076923,Europe,1,5,5,1,6,7,3,5,5,3,4
CZ,2.192307692,Europe,2,7,7,6,7,7,6,2,3,4,5
GB,3.730769231,Europe,2,5,6,2,6,5,4,5,5,5,5
SI,2.884615385,Europe,6,6,3,5,7,3,3,2,4,2,5
DE,3.653846154,Europe,2,6,5,6,6,6,3,6,4,2,7
GB,4,Europe,1,5,5,7,4,7,3,6,1,3,4
GB,4.461538462,Europe,1,6,6,6,5,7,2,3,5,1,7
DE,3.923076923,Europe,2,6,7,3,6,6,3,1,2,3,6
FI,4.269230769,Europe,1,5,2,4,6,7,4,7,4,2,6
ES,4.192307692,Europe,5,4,4,5,6,4,6,4,4,2,7
FR,4.076923077,Europe,1,5,7,1,6,7,3,2,7,3,6
PL,3.269230769,Europe,5,5,6,5,7,5,5,6,4,3,5
GB,4.307692308,Europe,1,1,3,6,6,7,5,6,5,2,7
GB,3.692307692,Europe,5,5,5,1,5,2,7,5,7,5,5
DK,4.423076923,Europe,2,2,6,6,6,7,6,5,3,3,7
NO,3.384615385,Europe,1,1,6,7,6,7,7,6,3,1,7
SE,3.576923077,Europe,1,2,6,2,6,5,3,3,7,3,5
PL,4.5,Europe,1,5,2,6,6,7,2,7,3,1,6
DE,3.230769231,Europe,5,6,5,4,7,5,7,5,6,2,7
FR,4.576923077,Europe,2,7,5,2,7,6,1,7,6,2,7
GB,3.769230769,Europe,5,6,2,7,4,5,6,5,1,5,5
AU,2.923076923,Oceania,4,3,5,6,5,6,6,5,6,4,3
AU,4.807692308,Oceania,4,3,5,7,7,2,6,6,1,1,7
AU,3.961538462,Oceania,1,4,5,5,3,5,5,4,5,3,6
AU,3.807692308,Oceania,1,5,5,6,6,7,3,3,3,3,6
AU,3.807692308,Oceania,5,1,5,1,7,4,6,5,7,1,4
NZ,2.884615385,Oceania,7,5,4,4,7,2,6,6,2,1,6
AU,2.846153846,Oceania,4,5,3,5,4,3,3,6,4,5,4
NZ,3.769230769,Oceania,1,4,5,6,5,7,6,1,5,1,7
AU,3.769230769,Oceania,2,3,5,6,7,5,6,5,3,2,7
AU,4.538461538,Oceania,1,5,6,7,6,7,6,5,1,1,7
AU,3.884615385,Oceania,3,5,3,6,7,6,6,6,3,1,7
AU,3.269230769,Oceania,5,2,6,4,5,6,7,2,6,2,5
NZ,3.346153846,Oceania,4,3,5,7,5,5,7,1,2,5,6
AU,3.115384615,Oceania,5,6,7,5,5,5,5,2,5,3,5
AU,4.846153846,Oceania,2,6,7,4,5,3,5,1,4,1,7
AU,3.346153846,Oceania,1,1,1,7,6,6,6,7,3,4,7
AU,3.884615385,Oceania,4,3,6,2,6,4,4,5,5,6,6
AU,3.653846154,Oceania,5,7,4,4,5,4,5,4,6,1,5
AU,3.884615385,Oceania,3,4,5,6,6,7,5,4,3,2,6
AU,3.769230769,Oceania,6,6,6,3,2,1,5,1,5,5,6
NZ,3.884615385,Oceania,5,3,7,2,6,5,5,3,6,3,6
AU,4,Oceania,2,7,4,1,7,3,1,7,6,1,6
AU,3.846153846,Oceania,1,2,6,2,6,6,6,4,6,2,6
AU,4,Oceania,2,1,6,7,3,7,5,2,1,3,7
AU,3.153846154,Oceania,4,3,5,5,3,5,6,3,4,2,5
AU,3.192307692,Oceania,6,5,2,7,6,5,6,7,1,3,2
AU,3.538461538,Oceania,5,4,6,6,6,7,6,4,5,4,7
AU,4.192307692,Oceania,2,3,5,6,7,6,7,4,1,2,6
AU,3.192307692,Oceania,2,3,7,6,7,6,7,1,4,1,7
NZ,4,Oceania,2,5,6,2,7,6,5,3,7,2,6
AU,3.538461538,Oceania,2,5,4,1,3,4,5,4,7,4,5
AU,3.307692308,Oceania,3,5,6,7,5,5,6,4,2,2,5
AU,3.961538462,Oceania,3,5,4,6,2,7,2,4,3,3,7
AU,3.730769231,Oceania,5,5,5,6,5,5,7,2,3,1,5
AU,2.884615385,Oceania,3,5,5,5,5,6,6,5,5,3,2
AU,4.038461538,Oceania,3,1,2,7,7,6,7,7,2,1,6
NZ,2.269230769,Oceania,2,5,6,5,3,7,5,3,5,6,5
AU,3.807692308,Oceania,1,7,7,7,5,7,3,1,3,2,6
AU,4.615384615,Oceania,7,3,6,2,6,1,1,3,2,1,7
FJ,4.230769231,Oceania,1,6,6,5,6,7,5,2,3,1,4
AU,4.423076923,Oceania,3,3,4,1,6,3,6,4,7,2,6
NZ,4,Oceania,5,7,6,1,5,6,1,3,6,2,3
AU,3.076923077,Oceania,3,6,5,7,3,5,6,2,3,5,4
NZ,3.538461538,Oceania,2,2,3,2,5,6,5,5,6,2,5
AU,4.269230769,Oceania,3,5,3,6,6,5,5,5,3,1,6
AU,3.307692308,Oceania,3,4,6,6,6,5,7,5,3,5,6
AU,3.576923077,Oceania,3,4,2,3,6,6,6,6,5,2,5
AU,3.423076923,Oceania,1,5,6,5,5,5,3,3,5,2,5
AU,4.192307692,Oceania,2,6,5,6,5,4,4,6,2,2,6
AU,3.038461538,Oceania,2,6,4,4,5,7,3,6,4,2,4
AU,2.923076923,Oceania,6,4,3,3,7,4,5,5,4,2,4
NZ,3.384615385,Oceania,2,2,5,5,5,6,3,5,3,2,5
AU,3.653846154,Oceania,3,1,6,6,7,7,7,1,6,1,5
AU,3.346153846,Oceania,6,3,6,5,4,5,6,3,4,3,4
AU,3.115384615,Oceania,3,6,5,4,5,4,5,3,5,2,4
AU,4.384615385,Oceania,7,7,4,4,7,1,7,7,3,1,6
AU,4.230769231,Oceania,1,6,6,1,7,5,2,5,3,7,7
AU,4,Oceania,7,5,3,6,5,4,5,5,3,4,7
AU,3.307692308,Oceania,3,5,5,2,6,6,5,5,6,5,5
NZ,3.346153846,Oceania,6,6,5,2,6,5,6,2,7,1,2
AU,3.576923077,Oceania,7,6,2,3,7,1,6,6,5,1,4
AU,4.076923077,Oceania,1,1,6,2,2,7,2,1,7,6,6
NZ,4.038461538,Oceania,2,2,3,5,7,6,4,5,5,6,6
AU,3.692307692,Oceania,6,6,6,2,7,3,5,5,6,1,6
AU,3.423076923,Oceania,1,7,6,5,3,7,1,2,4,7,5
AU,3.653846154,Oceania,4,2,6,5,6,4,3,4,3,2,4
AU,3.461538462,Oceania,6,5,6,2,7,3,7,5,6,1,2
AU,3.807692308,Oceania,1,5,2,6,6,6,6,6,2,2,4
AU,3.538461538,Oceania,7,5,6,3,7,2,5,2,6,1,6
AU,3.346153846,Oceania,5,2,4,1,6,3,6,4,7,3,5
NZ,3.576923077,Oceania,2,5,5,5,5,6,5,3,3,1,5
AU,3.923076923,Oceania,3,4,5,6,5,7,4,3,4,2,7
AU,4.307692308,Oceania,6,6,2,7,3,3,2,6,3,5,7
NZ,3.192307692,Oceania,3,2,4,3,5,5,6,3,4,4,4
AU,4.269230769,Oceania,4,4,6,5,4,4,7,4,4,6,7
AU,3.538461538,Oceania,2,4,2,6,2,5,7,5,3,4,4
AU,3.576923077,Oceania,1,3,1,5,6,7,4,5,3,6,6
AU,3.038461538,Oceania,6,2,2,1,6,1,6,3,6,1,1
AU,3.653846154,Oceania,2,4,4,7,6,5,6,7,2,2,7
AU,4.192307692,Oceania,7,5,6,6,7,3,7,6,2,1,7
AU,2.384615385,Oceania,5,3,5,6,2,4,5,6,4,1,1
AU,3.5,Oceania,1,5,6,3,6,7,6,4,6,2,6
AU,4,Oceania,5,5,5,6,6,5,6,6,4,2,7
AU,3.576923077,Oceania,2,3,6,7,3,7,6,5,4,3,5
GU,4.076923077,Oceania,1,5,4,7,6,7,4,3,4,3,7
AU,3.769230769,Oceania,6,5,6,6,5,2,7,6,6,2,7
NZ,4.038461538,Oceania,2,5,6,7,5,7,5,3,2,6,7
AU,3.423076923,Oceania,1,2,2,5,4,7,5,6,5,4,6
NZ,3.615384615,Oceania,6,5,4,1,5,2,2,5,6,2,7
NZ,3.384615385,Oceania,3,5,5,5,5,5,4,6,5,1,4
AU,3.538461538,Oceania,2,1,7,1,7,6,7,1,7,1,6
NZ,3.307692308,Oceania,4,1,6,2,5,7,7,3,7,2,5
AU,3.846153846,Oceania,4,5,2,4,7,4,6,7,6,2,6
AU,3.923076923,Oceania,3,5,4,7,6,6,7,5,5,4,6
NZ,2.807692308,Oceania,6,5,7,2,4,6,5,3,6,6,5
AU,4.384615385,Oceania,1,7,5,3,7,2,4,5,3,2,6
AU,3.5,Oceania,2,2,4,2,7,7,4,3,6,3,5
AU,4.346153846,Oceania,1,6,7,3,5,5,2,4,3,3,5
AU,4.269230769,Oceania,2,5,7,5,5,3,6,1,6,4,5
AU,3.923076923,Oceania,6,5,5,1,6,1,5,3,7,5,5
AU,3.423076923,Oceania,2,2,4,6,5,5,6,3,3,1,7
AU,3.5,Oceania,3,2,6,5,7,3,4,2,6,2,5
AU,4.346153846,Oceania,5,5,7,6,7,4,5,1,6,4,6
AU,4.076923077,Oceania,1,5,5,5,3,6,6,5,3,4,6
NZ,3.653846154,Oceania,3,5,2,2,6,5,3,7,6,2,6
NZ,3.038461538,Oceania,3,5,5,5,6,6,5,5,4,3,5
NZ,3.346153846,Oceania,3,2,6,1,6,6,7,3,6,6,6
AU,4.653846154,Oceania,3,4,4,5,3,4,5,6,4,2,7
AU,4.153846154,Oceania,2,1,2,7,5,7,3,5,1,1,7
NZ,3.615384615,Oceania,3,5,6,5,5,5,6,2,3,3,6
AU,3.807692308,Oceania,5,1,7,2,7,6,2,7,1,1,6
AU,4.5,Oceania,2,1,4,5,7,4,7,6,3,1,6
AU,2.846153846,Oceania,3,2,3,7,6,6,6,7,3,1,4
NZ,3.5,Oceania,5,5,6,7,7,1,6,3,5,1,6
AU,4.076923077,Oceania,5,6,2,5,6,4,5,5,3,2,4
NZ,3.5,Oceania,4,5,2,5,6,6,7,2,3,1,6
NZ,3.538461538,Oceania,3,6,4,5,4,5,4,2,3,1,5
AU,3.923076923,Oceania,3,7,2,5,5,7,7,2,5,2,5
AU,3.769230769,Oceania,4,4,3,5,5,3,6,6,6,4,6
AU,4.153846154,Oceania,1,5,6,2,5,6,3,1,6,3,4
AU,3.461538462,Oceania,7,3,5,5,6,5,6,5,6,4,4
NZ,3.653846154,Oceania,2,6,3,4,3,7,4,6,3,2,6
AU,4.153846154,Oceania,5,2,5,6,7,5,6,5,5,5,6
AU,4.5,Oceania,5,1,3,5,6,4,6,6,3,3,5
AU,2.615384615,Oceania,3,6,4,2,5,3,3,4,3,3,5
AU,3.461538462,Oceania,1,1,7,1,6,7,7,1,7,4,6
AU,4.192307692,Oceania,2,5,3,6,5,7,6,6,5,3,7
AU,4.076923077,Oceania,1,5,5,7,5,7,5,2,3,2,7
NZ,3.461538462,Oceania,5,3,6,2,6,6,5,1,6,2,5
AU,4.230769231,Oceania,3,6,5,1,5,3,2,3,5,2,7
AU,3.846153846,Oceania,6,6,6,2,7,3,4,2,5,2,5
AU,2.576923077,Oceania,7,1,5,6,5,3,7,6,4,5,2
AU,3.923076923,Oceania,7,5,5,5,7,3,5,2,4,6,3
AU,3.846153846,Oceania,6,5,7,2,6,4,6,3,6,1,7
AU,3.538461538,Oceania,1,2,3,5,3,5,7,3,4,7,6
NZ,3.307692308,Oceania,6,4,6,2,6,2,5,5,3,6,5
AU,3.461538462,Oceania,2,3,7,2,5,7,5,3,6,3,5
AU,2.769230769,Oceania,5,5,6,3,6,5,6,5,5,3,4
NZ,3.807692308,Oceania,6,7,6,5,5,3,4,4,3,4,5
AU,3.346153846,Oceania,4,5,7,1,7,5,7,5,7,1,5
AU,3.384615385,Oceania,1,2,4,5,5,6,4,3,4,3,4
AU,3.346153846,Oceania,6,2,3,5,6,3,6,7,2,1,7
AU,3.192307692,Oceania,2,1,6,6,5,0,7,5,3,1,6
NZ,4.423076923,Oceania,1,5,4,5,5,7,5,6,2,1,6
AU,3.307692308,Oceania,6,5,6,5,6,3,6,2,4,6,5
NZ,2.846153846,Oceania,2,1,6,2,6,6,6,6,6,4,4
NZ,3.230769231,Oceania,3,5,3,5,4,6,5,5,3,4,7
AU,3.384615385,Oceania,3,5,4,1,6,5,5,7,7,4,6
AU,3.615384615,Oceania,2,3,6,4,6,7,6,5,5,3,5
AU,3.846153846,Oceania,3,4,5,5,6,6,7,5,7,2,7
NZ,3.269230769,Oceania,6,1,6,5,7,5,6,2,6,3,6
AU,3.307692308,Oceania,6,2,7,7,5,5,7,5,5,1,5
AU,4.076923077,Oceania,3,4,3,6,7,5,5,6,4,3,6
AU,3.384615385,Oceania,7,5,5,4,4,1,5,4,4,1,4
AU,2.923076923,Oceania,7,2,1,2,6,2,7,6,3,1,5
AU,3.884615385,Oceania,3,6,6,6,7,4,1,5,2,1,7
NZ,4.461538462,Oceania,6,7,7,6,7,6,7,6,5,1,7
AU,4.115384615,Oceania,2,3,1,7,5,6,7,7,2,1,6
AU,3.230769231,Oceania,6,7,6,5,2,6,4,7,3,2,7
NZ,3.346153846,Oceania,7,4,6,7,7,4,6,5,2,2,6
NZ,3.961538462,Oceania,2,3,4,5,7,5,6,5,4,2,6
AU,3.576923077,Oceania,2,2,6,7,5,6,7,5,3,5,5
AU,2.269230769,Oceania,7,2,1,4,7,3,6,6,3,1,2
AU,4.076923077,Oceania,2,3,2,5,6,7,4,6,3,1,7
AU,3.346153846,Oceania,2,2,5,6,6,6,7,3,4,5,5
AU,4.307692308,Oceania,4,5,5,5,7,4,1,5,2,1,4
AU,4.076923077,Oceania,6,6,7,2,7,4,5,5,7,1,6
AU,3.807692308,Oceania,1,5,1,5,7,7,3,7,3,1,6
NZ,3.192307692,Oceania,3,5,5,6,5,7,6,5,5,5,2
NZ,4.192307692,Oceania,5,5,7,5,7,5,7,2,5,2,7
AU,3.769230769,Oceania,4,5,3,6,6,5,6,1,4,1,7
NZ,4.615384615,Oceania,5,1,3,5,7,5,6,6,3,1,7
AU,4,Oceania,2,5,3,7,4,3,2,6,1,2,5
NZ,4.115384615,Oceania,6,6,7,1,6,1,2,2,7,3,6
AU,3.423076923,Oceania,2,6,7,1,3,5,1,1,3,2,5
AU,3.423076923,Oceania,3,6,6,6,6,5,3,5,2,2,5
AU,3.615384615,Oceania,5,5,6,2,7,5,6,3,5,5,5
AU,2.807692308,Oceania,5,3,6,5,6,3,7,3,6,5,5
AU,4.038461538,Oceania,1,3,4,6,7,7,7,7,3,3,6
GU,3.884615385,Oceania,6,6,5,2,6,2,2,6,5,2,5
AU,3.461538462,Oceania,6,2,4,3,7,2,7,5,4,1,7
AU,4.230769231,Oceania,3,6,5,5,5,2,5,4,2,2,6
AU,3.923076923,Oceania,6,7,6,2,6,3,5,4,5,2,7
AU,3.192307692,Oceania,7,2,6,1,7,3,6,5,7,1,5
AU,3.923076923,Oceania,3,2,6,2,7,4,4,2,6,7,7
AU,4.384615385,Oceania,5,5,4,7,3,1,1,5,4,2,7
AU,4.346153846,Oceania,1,6,5,7,2,7,6,5,3,5,7
AU,4.576923077,Oceania,2,6,6,5,5,6,5,6,6,6,7
AU,3.846153846,Oceania,2,1,6,2,5,7,6,2,6,3,7
AU,3.692307692,Oceania,2,3,4,4,4,6,4,5,4,7,6
AU,3.076923077,Oceania,2,6,7,3,3,7,2,1,6,1,5
NZ,4.192307692,Oceania,3,6,6,5,6,7,6,3,6,4,7
AU,4.230769231,Oceania,1,1,5,3,7,7,5,5,6,2,6
AU,3.384615385,Oceania,7,6,3,5,6,3,7,3,5,2,5
NZ,3.692307692,Oceania,2,6,5,7,4,6,3,7,2,4,5
NZ,3.961538462,Oceania,1,5,5,3,3,6,4,5,5,4,6
AU,4,Oceania,3,2,7,2,6,6,7,2,6,1,5
AU,4.038461538,Oceania,5,6,7,6,6,7,2,1,4,1,7
AU,3.384615385,Oceania,2,6,5,1,3,4,3,3,6,7,4
AU,4.076923077,Oceania,3,5,3,5,6,5,6,5,3,1,6