id,age,male,female,pcomp_1,appear_1,motiv_1,pworth_1,gworth_1,parent_1,teach_1,mate_1,friend_1,affect_1,auton_1,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,psw1_1,psw2_1,psw3_1,psw4_1,ts1_1,ts2_1,ts3_1,ts4_1,ts5_1,enj1_1,enj2_1,enj3_1
1129,14.3,1,0,3.5,3,2.6,3.2,3,3.6,3.2,3.2,2.2,4,2.8,4,4,3,3,4,1,3,3,2,3,3,3,3,4,3,3,3,3,4,4,4
1130,14.3,1,0,3,2.5,2.6,3.2,3,1.6,2.8,2.8,2.6,4,2.6,4,4,3,1,4,2,2,2,3,4,3,3,2,3,2,3,3,3,4,4,4
1131,14.5,0,1,3,3.75,3.4,3.4,3.5,3.8,2.4,3.6,4,3,2.6,3,3,3,3,4,3,4,3,3,4,4,3,2,2,2,2,2,4,3,3,3
1132,13.7,0,1,3,4,2.8,3.2,4,4,3.4,3.8,2.2,2.33,2.8,3,4,2,3,4,1,2,4,3,4,3,3,3,4,4,3,2,4,3,2,2
1133,13.9,1,0,3.5,2.75,3,3.8,3.75,3.8,2.4,2.6,2.8,3,2.6,4,3,3,4,3,2,4,3,3,3,4,4,4,2,3,3,1,3,3,3,3
1134,13.6,1,0,2.75,3.75,3.6,3.6,3.75,4,4,3,3.6,3.33,3.4,3,3,3,2,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,3
1135,14.1,1,0,3,3,.,3.6,3.75,3.2,3.2,2.6,2.8,2,.,2,3,3,4,.,.,.,.,.,4,3,4,3,4,1,4,3,4,2,2,2
1136,13.5,0,1,2.25,3,3.2,3.5,3.5,3.2,3,3.2,3.8,3,3,1,2,2,4,3,3,3,3,4,3,4,.,.,2,3,3,3,4,3,3,3
1137,14.3,0,1,2.75,3,3.4,3.8,4,3.8,3.4,3.2,4,3.33,3.6,3,3,2,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,3
1138,13.9,1,0,2.75,3.75,2.4,2.8,3.5,3.6,3.8,3.4,3.4,4,3,3,4,2,2,3,1,3,3,2,2,3,3,3,4,4,4,4,3,4,4,4
1139,14.5,0,1,3.25,2,2.8,3,2.5,4,3,2.8,3.8,2.67,2.8,4,2,3,4,4,2,3,1,4,4,1,2,4,3,3,3,3,3,3,2,3
1140,13.5,1,0,2,1.5,2.6,2.75,3.67,3.2,3.2,3.2,1.8,3,2.4,.,.,.,2,4,1,2,4,2,.,3,3,2,4,1,3,4,4,.,.,3
1141,13.5,1,0,3.25,2,2.6,3,2.75,2.6,2.2,2.6,2.8,2.33,2.4,3,4,3,3,4,3,2,1,3,4,3,3,2,3,2,2,2,2,3,2,2
1142,14.5,1,0,3.75,4,4,4,4,3.2,3.6,3.6,3.2,4,3.4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4
1143,14.3,0,1,2.5,2.5,3.6,2.6,3,3.8,3,3.4,3.2,4,3.2,3,2,2,3,4,3,4,3,4,3,3,3,1,4,1,3,3,4,4,4,4
1144,13.7,1,0,3,3.25,3.8,3.2,3.5,3.8,3,3,3.8,4,3,3,3,3,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,4,4,4
1145,13.5,1,0,3.5,3.75,3.2,4,3.75,3.2,3.4,3.4,3,3.67,3,3,4,4,3,4,1,4,3,4,4,4,4,4,3,4,3,3,4,4,3,4
1146,14.1,1,0,2.25,2.75,3,2.6,3,4,3.8,3,4,2,1.8,3,2,2,2,3,3,3,3,3,3,2,3,2,4,3,4,4,4,2,2,2
1147,14.3,0,1,2.75,2.75,2.8,3,2.5,3.4,3,3,3.6,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
1148,14.5,1,0,4,4,3.4,4,4,4,3.4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,3,3,3
1149,14.2,0,1,2.25,2.25,2.8,2.2,3,2.8,3.8,3.4,4,2,3,3,2,2,2,3,1,4,3,3,2,3,2,2,4,4,3,4,4,2,2,2
1150,14.4,1,0,3.25,2.25,3.2,2.2,2.5,3,3.4,2.6,3.8,3.67,2.8,3,3,3,4,3,4,3,3,3,2,3,2,2,4,3,3,3,4,4,3,4
1151,14.1,1,0,2,2.75,3,2.8,3.25,3.8,3.2,3.6,3.6,3,2.2,2,2,2,2,3,2,3,3,4,3,2,3,3,3,4,3,2,4,3,3,3
1152,14.5,1,0,2,2.5,2.8,2.8,3,3.8,3,3,3.8,1.33,3.2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,1,1
1153,14.3,1,0,2,2,2.8,2.5,3.33,3,3.4,3.4,3.6,1,1.8,.,.,.,2,3,2,3,3,3,.,3,2,3,4,4,3,2,4,.,.,1
1154,13.8,1,0,4,3.75,2.4,4,3.25,3.2,2.4,3.6,4,4,2.4,4,4,4,4,3,1,2,2,4,4,4,4,4,3,2,3,2,2,4,4,4
1155,13.5,0,1,2.25,2.5,2.2,2.4,3.5,2.8,4,3.4,4,2.67,2.8,2,2,3,2,3,1,2,2,3,2,3,2,2,4,4,4,4,4,3,2,3
1156,14.5,0,1,2.75,3,4,3,3.25,4,4,3.6,4,3.33,4,2,3,2,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,3,3
1157,14.1,0,1,2.75,2,3.2,2.4,2.75,4,3.2,3.6,4,3,3.6,4,3,2,2,3,3,4,3,3,3,2,2,2,3,3,3,3,4,3,3,3
1158,13.7,0,1,3,3.75,3.6,3.8,3.75,3,3.4,4,4,3.33,3,3,2,3,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3
1159,14.4,1,0,3,3,2.8,2.8,2.75,4,3.8,3.2,2.8,3,2.6,3,4,2,3,3,3,2,2,4,2,3,3,3,4,4,3,4,4,3,3,3
1160,15.8,0,1,2.25,2,2.4,2,2.75,1.8,2.4,2.8,3.2,2,2.6,3,2,2,2,3,1,3,2,3,2,2,2,2,3,2,3,1,3,2,2,2
1161,13.8,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1162,13.5,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1163,15.8,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1164,13.5,0,1,2.5,2,2.2,2.8,2.5,3.5,3.33,3.5,3.67,3,2.4,3,2,3,2,3,2,2,2,2,3,2,3,3,.,.,3,4,3,3,3,3
1165,13.5,1,0,3.75,3.5,3.4,2.8,4,3,3.33,4,3,4,4,3,4,4,4,4,2,4,4,3,4,1,4,1,.,.,3,3,4,4,4,4
1166,20,0,1,1.75,3,2.6,2.4,3.25,4,2.6,2.8,3.8,2.67,2.6,2,2,1,2,3,2,3,2,3,2,2,3,3,3,3,2,2,3,4,2,2
1167,14.3,0,1,3,3.5,3.4,3.6,4,4,4,4,3.4,2.67,3.6,3,4,3,2,4,1,4,4,4,3,3,4,4,4,4,4,4,4,2,3,3
1168,13.7,1,0,3,3,2.6,3,3,4,3.2,3.4,3.6,1.67,3,3,3,2,4,3,2,3,2,3,4,3,3,2,3,3,3,3,4,2,2,1
1169,13.5,0,1,3.25,3.25,2.4,3.2,3.25,3.8,3.4,2.6,2.4,2.33,3.4,3,3,3,4,4,1,2,2,3,3,4,2,4,3,3,4,3,4,3,2,2
1170,13.5,0,1,1,1,2,1,2,2,3,2.2,4,1.67,3,1,1,1,1,3,2,2,1,2,1,1,1,1,3,4,3,2,3,2,2,1
1171,13.6,0,1,3,3.5,3.4,3.4,4,3.8,4,4,4,2.67,3,3,3,3,3,4,1,4,4,4,3,3,4,3,4,4,4,4,4,2,3,3
1172,13.7,.,.,2,2.25,2.6,3.2,2.5,3,3,2.4,2.4,3,2.6,1,1,4,2,4,2,2,2,3,2,4,3,4,2,4,4,2,3,4,3,2
1173,13.7,.,.,2.75,3.75,1.8,2.6,3.25,2.2,2.2,2.4,1.2,3.33,2.4,3,2,2,4,3,3,1,1,1,3,3,4,2,3,2,3,2,1,4,3,3
1174,14.5,1,0,3.5,3.5,2.6,3.4,3.75,3.2,3,2.8,3.6,3.33,3.2,3,4,3,4,4,2,2,2,3,4,3,3,3,3,2,3,3,4,4,3,3
1175,15.5,1,0,3.25,4,.,3.2,4,3,2.5,3.25,2.75,2.67,.,4,4,4,1,.,.,.,.,.,4,1,4,3,2,3,3,2,.,3,3,2
1176,14,1,0,3.75,2.5,3.2,3.8,3.75,3.8,3,4,4,3.33,4,4,4,3,4,4,2,4,2,4,4,3,4,4,3,3,3,3,3,4,3,3
1177,14.7,1,0,4,4,2.4,4,4,3.2,2.8,2.8,2.8,4,3,4,4,4,4,3,1,3,3,2,4,4,4,4,4,1,2,3,4,4,4,4
1178,14.9,1,0,3.75,2.5,3.2,4,2.5,3.6,3.2,3.4,3.2,3.33,3.2,4,4,3,4,4,2,3,3,4,4,4,4,4,2,2,4,4,4,4,3,3
1179,13.8,1,0,3.25,3.25,2.8,2.6,2.75,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
1180,13.9,1,0,3.75,4,2.4,3.6,3.75,2.4,2.6,3,2.4,2.67,3,4,3,4,4,4,2,2,2,2,3,4,4,3,2,2,3,2,4,2,3,3
1181,13.5,0,1,1.75,2,3.6,2,3,4,2.8,3.6,4,1,4,2,1,2,2,3,3,4,4,4,2,2,2,2,2,3,3,3,3,1,1,1
1182,14.3,1,0,2,3.25,2.4,2.8,2,3.4,3.4,2.4,2.2,2,3.2,1,1,3,3,2,3,3,2,2,3,2,3,3,4,4,4,1,4,2,2,2
1183,14.4,1,0,3.25,3.75,2.6,3.6,3.75,3.6,3.8,4,3.8,2.33,4,3,4,3,3,3,1,4,4,1,4,3,4,3,3,4,4,4,4,3,3,1
1184,13.8,1,0,2.5,2.75,2.6,2.4,3,3.2,2.6,2.4,2.8,2.33,2.8,2,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,2
1185,13.9,1,0,2.75,2.5,2.6,1.8,3.25,1.6,2.2,3.2,2,1,1.6,4,3,2,2,2,1,3,4,3,1,1,2,3,2,3,2,2,2,1,1,1
1186,13.6,1,0,4,2.25,3.8,3.8,2.75,4,3,2.6,3.8,3.67,2.2,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4
1187,13.9,0,1,1.5,1.25,2,1.6,4,4,3,3.4,4,1,1.6,1,2,2,1,3,1,2,2,2,2,2,2,1,3,2,3,3,4,1,1,1
1188,13.5,1,0,2.25,3,3,3,3.25,4,3.4,2.8,2.6,3,3,3,2,2,2,4,2,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3
1189,14.1,0,1,2.75,3,3.8,2.2,4,3.8,3.8,3.4,4,4,4,3,3,2,3,4,3,4,4,4,2,2,3,2,3,4,4,4,4,4,4,4
1190,13.7,0,1,2.75,3.5,3,2.8,3.75,3.6,3.8,4,4,1.67,4,2,3,3,3,3,1,4,4,3,3,2,3,3,3,4,4,4,4,2,2,1
1191,14.3,1,0,3.5,2.75,3.2,3.8,3.5,3.2,2.8,3.4,2.6,3,2.6,4,3,3,4,3,4,2,3,4,3,4,4,4,3,3,2,3,3,3,2,4
1192,13.5,1,0,3.25,4,2.8,3.4,4,2.8,3.2,3.4,3.4,4,2.8,4,4,1,4,4,1,4,4,1,4,4,4,1,4,1,4,4,3,4,4,4
1193,13.6,1,0,4,4,2.2,3.4,4,2.2,2.8,2.2,2.2,4,2.2,4,4,4,4,4,1,1,1,4,4,4,1,4,4,1,4,1,4,4,4,4
1194,13.6,0,1,2.5,3,2.6,2.8,3.25,2.4,2.8,3,3.4,3,2.6,3,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3
1195,14.4,1,0,2.75,3,2.8,3,2.5,3.4,2.2,2,1.8,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3
1196,14.6,1,0,4,3.25,3.8,4,4,3.8,3.6,3.2,3.8,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
1197,13.5,1,0,3.75,3,3.2,3.6,4,3.6,3.6,2.6,3.6,3.67,3.4,4,4,4,3,4,2,3,3,4,4,3,4,3,4,3,4,3,4,4,4,3
1198,14.4,1,0,2.5,3.25,2.2,2.8,3.25,3.4,3.8,2,3.2,1,2.2,2,3,1,4,1,4,1,4,1,4,4,1,1,4,4,4,4,3,1,1,1
1199,14,1,0,3.75,3.25,3.8,3.4,4,3.8,3.2,3.4,4,1,2.8,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,4,1,1,1
1200,13.9,0,1,3,3,3.8,2.8,3.25,4,4,3.8,4,3.67,3,4,3,2,3,4,3,4,4,4,3,3,3,2,4,4,4,4,4,4,3,4
1201,14,1,0,3.75,3.5,3.6,3.8,3.5,2.4,2.8,2.8,4,4,2.4,4,4,3,4,4,2,4,4,4,4,4,4,3,2,4,2,3,3,4,4,4
1202,14.2,0,1,2.75,2,3.2,2.2,3,3.4,2,2.6,2.8,2.33,2.4,3,3,3,2,3,3,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2
1203,14.3,1,0,4,4,4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1204,15.1,1,0,2.25,2,2.8,2.4,3.5,2,3.2,2.4,3.2,3.33,1.8,3,2,2,2,4,1,3,3,3,3,3,2,2,4,3,3,2,4,3,3,4
1205,15.6,0,1,2.75,1.75,3,2,3.25,4,3.6,3.6,4,3,2,3,3,3,2,4,3,2,3,3,2,2,2,2,4,3,3,4,4,3,3,3
1206,14.3,.,.,2.25,2.5,2.2,2,2.25,2.8,2.8,3,2.2,2.67,2.6,3,2,2,2,2,1,2,3,3,2,1,3,1,4,3,2,2,3,3,1,4
1207,13.7,1,0,3,3.75,3.6,3,3.5,2.8,2.8,3.2,2.6,2,2.4,3,3,3,3,3,4,4,4,3,3,3,4,2,3,3,3,3,2,2,2,2
1208,13.7,0,1,2,1.5,2.8,1.6,2.5,3.6,3.6,3,3.4,1.33,2.8,3,2,2,1,3,2,3,3,3,2,2,2,1,4,4,3,3,4,1,2,1
1209,15.9,0,1,1.5,2.25,2.6,2.4,3.25,3.8,3.4,3,4,1.33,3.2,1,2,2,1,2,1,4,3,3,2,3,2,2,3,3,3,4,4,2,1,1
1210,13.7,1,0,3.5,2.75,3.4,3.2,3,3.8,3.2,3.4,3.6,3,2.8,4,4,3,3,4,3,3,3,4,3,4,3,3,2,4,3,3,4,3,3,3
1211,14.1,1,0,4,3.5,3.4,4,3.75,4,3.4,3.8,4,3.67,3.8,4,4,4,4,4,2,4,3,4,4,4,4,4,4,1,4,4,4,4,3,4
1212,15.4,0,1,1,1.5,1,1.6,3,3.8,3,2,3.2,1,1.6,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,2,3,1,1,1
1213,14.7,1,0,2.5,3,2.6,3,3.5,3.2,2.6,3.4,3.2,3.33,2.6,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3
1214,14.3,1,0,4,4,3.2,4,4,3,3.4,3.4,3.4,4,3.8,4,4,4,4,4,1,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4
1215,14.3,1,0,3,3.5,3.2,3.4,4,3.8,2.4,3,3.6,3,3.6,3,3,3,3,4,3,4,2,3,4,3,4,3,2,3,2,2,3,3,3,3
1216,13.6,1,0,3.25,4,3.6,4,4,4,3.4,4,4,4,3.6,1,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,4,4,4
1217,14.8,1,0,4,3.25,3.4,3.8,4,3.8,3.4,4,3.8,3.33,2.6,4,4,4,4,4,2,4,3,4,4,4,4,3,4,3,3,3,4,3,3,4
1218,13.5,0,1,2,2.75,2.6,2.6,3.75,4,3.2,3.6,4,1,2.6,1,4,1,2,3,2,4,2,2,3,3,2,3,3,4,3,3,3,1,1,1
1219,14.3,1,0,2.75,2.5,3,3.4,3.25,3.6,2,2.4,2,3.33,2.4,4,3,3,1,4,2,3,3,3,4,3,3,4,2,2,2,2,2,4,3,3
1220,14.2,1,0,3,3.25,3,3.6,3.25,3.4,3.2,3.4,2.8,3.67,3.2,3,3,3,3,3,3,3,3,3,4,3,4,3,2,3,3,4,4,4,3,4
1221,15,0,1,2.5,2.25,2.8,2.6,3,2.8,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
1222,13.8,0,1,1.75,1.25,2,1.6,2.75,2.8,3,3.2,4,2,2.6,2,1,2,2,3,1,2,2,2,2,2,2,1,3,3,3,3,3,2,2,2
1223,14.1,1,0,3.25,3.5,2.6,3.8,3.5,3.8,2.8,4,3,2.67,3,3,3,3,4,3,1,4,3,2,4,4,4,4,3,1,3,3,4,4,2,2
1224,13.7,1,0,2.75,2,3.2,2.8,3.25,3.8,3.8,3,3.2,4,3.4,3,3,3,2,4,2,3,3,4,4,2,3,2,3,4,4,4,4,4,4,4
1225,13.6,1,0,3,2.75,2.8,3.2,2.75,2.8,2.8,2.8,3,4,2.8,3,3,3,3,3,2,3,3,3,4,3,3,3,3,2,3,3,3,4,4,4
1226,14.2,0,1,2.25,2,3.6,2.2,2.75,4,3,3.2,4,3,3.4,2,2,2,3,4,2,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3
1227,14.9,0,1,2,4,2.2,2.4,4,2,2.8,3.4,4,2,2.8,2,3,2,1,3,1,3,2,2,2,1,4,1,2,3,3,2,4,3,2,1
1228,13.7,1,0,3,2.25,3.4,3,3.75,2.6,3.4,3.6,4,3.67,3,3,3,3,3,4,1,4,4,4,3,2,4,3,2,4,4,3,4,4,4,3
1229,16.5,0,1,3,3.75,2.6,3,4,3.2,3.2,3.6,4,1,1,3,3,3,3,3,1,3,3,3,4,2,3,3,3,3,3,3,4,1,1,1
1230,13.9,0,1,2.75,1.75,3.2,2.8,3.25,2.4,3,3,4,3.33,2.4,3,3,2,3,4,3,3,3,3,4,2,3,2,3,3,3,3,3,4,3,3
1231,14.2,0,1,2,2,2.8,1.8,3,3.4,3.2,2.8,4,2.33,2.6,2,2,2,2,4,1,3,3,3,2,2,2,1,3,4,3,4,2,3,2,2
1232,14,1,0,2.75,3.5,2.8,3.6,3.25,3,3,2.8,3.4,3.33,3.2,3,3,3,2,3,2,4,2,3,4,3,3,4,3,3,3,3,3,4,3,3
1233,14,1,0,2.75,3,3.4,3,3,3.8,2.8,3.2,2.8,3,3.4,3,3,2,3,4,2,4,3,4,3,3,4,2,3,3,2,3,3,3,3,3
1234,13.9,0,1,2,2.5,2.8,2,3.25,2.2,3.4,2.2,4,2,3,2,2,2,2,3,2,3,3,3,2,2,2,2,4,3,4,3,3,1,1,4
1235,14.5,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1236,15,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1237,14.3,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1238,13.9,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1239,14.6,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1240,14.8,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1241,14.1,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1242,16.8,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1243,15,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1244,14.4,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1245,14.5,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1246,14.2,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1247,14.6,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1248,14.9,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1249,14.2,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1250,17.1,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1251,15.3,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1252,16.5,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1253,14.6,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1254,15.7,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1255,15.2,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1256,15.6,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1257,15.2,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1258,14.7,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1259,15,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1260,14.8,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1261,15.6,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1262,15.5,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1263,.,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1354,.,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
