id,pc1,pc2,pc3,pc4,mot1,mot2,mot3,mot4,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,pc1_2,pc2_2,pc3_2,pc4_2,mot1_2,mot2_2,mot3_2,mot4_2,mot5_2,pc1_3,pc2_3,pc3_3,pc4_3,mot1_3,mot2_3,mot3_3,mot4_3,mot5_3,pc1_4,pc2_4,pc3_4,pc4_4,mot1_4,mot2_4,mot3_4,mot4_4,mot5_4,male,female
1175,3.25,.,4,.,.,.,3.6,.,4,4,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,3,4,3,4,.,.,.,.,.,.,.,.,.,1,0
1176,3.75,3.75,3.75,3.5,3.2,2.8,3.4,3.6,4,4,3,4,4,2,4,2,4,4,4,3,4,1,4,4,4,1,4,4,3,4,4,3,4,3,3,4,4,3,3,4,3,3,4,4,1,0
1177,4,3,4,4,2.4,2,4,3,4,4,4,4,3,1,3,3,2,4,2,4,2,2,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,1,0
1178,3.75,.,3.5,2.5,3.2,.,2.8,3,4,4,3,4,4,2,3,3,4,.,.,.,.,.,.,.,.,.,3,3,4,4,4,2,3,2,3,3,3,3,1,4,3,3,2,3,1,0
1179,3.25,3.25,3.75,4,2.8,2.8,2.8,3.4,3,3,3,4,3,2,3,3,3,3,3,3,4,3,2,3,3,3,3,4,4,4,3,2,3,3,3,4,4,4,4,4,2,4,4,3,1,0
1180,3.75,3.25,4,.,2.4,3,3.2,.,4,3,4,4,4,2,2,2,2,3,3,4,3,2,4,3,3,3,4,4,4,4,3,1,4,4,4,.,.,.,.,.,.,.,.,.,1,0
1181,1.75,1.75,1.75,1.5,3.6,3.6,3.8,4,2,1,2,2,3,3,4,4,4,2,1,2,2,2,4,4,4,4,2,1,2,2,3,4,4,4,4,2,1,2,1,4,4,4,4,4,0,1
1182,2,2.5,1.5,1.5,2.4,1.8,2.4,2.2,1,1,3,3,2,3,3,2,2,2,1,4,3,1,3,3,1,1,1,1,2,2,3,2,3,2,2,1,1,3,1,3,1,3,2,2,1,0
1183,3.25,3,2.5,4,2.6,3,3.2,3.8,3,4,3,3,3,1,4,4,1,3,3,3,3,2,2,4,3,4,3,3,3,1,3,2,4,3,4,4,4,4,4,4,4,4,3,4,1,0
1184,2.5,2.75,3,2.75,2.6,2.2,2.2,2.6,2,3,3,2,3,2,3,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,1,2,2,3,3,3,2,3,3,2,3,2,3,1,0
1185,2.75,3.5,2.5,3,2.6,3.8,3.4,2.6,4,3,2,2,2,1,3,4,3,3,3,4,4,3,4,4,4,4,3,1,3,3,3,3,4,3,4,3,3,3,3,1,3,3,3,3,1,0
1186,4,4,4,4,3.8,3.6,3.4,3.4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,1,0
1187,1.5,1.25,1,1.75,2,1.8,2,2,1,2,2,1,3,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,3,1,2,2,2,2,2,2,1,3,1,2,2,2,0,1
1188,2.25,2.25,2.25,2.25,3,3,3,2.8,3,2,2,2,4,2,3,3,3,2,3,2,2,4,2,3,2,4,2,3,2,2,4,2,3,3,3,2,2,2,3,3,2,3,3,3,1,0
1189,2.75,2.25,1.25,2,3.8,3.8,4,4,3,3,2,3,4,3,4,4,4,2,3,2,2,3,4,4,4,4,2,1,1,1,4,4,4,4,4,2,2,2,2,4,4,4,4,4,0,1
1190,2.75,1.25,2.25,2,3,1.8,2.2,1.6,2,3,3,3,3,1,4,4,3,1,1,1,2,1,1,2,4,1,2,2,2,3,2,1,3,3,2,2,2,2,2,1,1,2,2,2,0,1
1191,3.5,3.25,4,4,3.2,2,3.2,2.8,4,3,3,4,3,4,2,3,4,2,3,4,4,1,2,2,1,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,1,1,4,4,1,0
1192,3.25,2.75,2.5,3,2.8,2.8,2.4,2.4,4,4,1,4,4,1,4,4,1,2,2,3,4,1,4,4,1,4,1,2,4,3,4,1,1,2,4,3,4,1,4,4,1,2,3,2,1,0
1193,4,.,.,4,2.2,.,.,4,4,4,4,4,4,1,1,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,1,0
1194,2.5,2.5,2,2.25,2.6,2.8,2.6,2.8,3,3,2,2,3,2,3,2,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,2,4,2,3,2,3,0,1
1195,2.75,3.25,3.25,3,2.8,2.6,3.4,2.8,3,3,2,3,3,3,3,3,2,3,3,3,4,2,2,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,2,3,3,3,3,1,0
1196,4,4,4,4,3.8,3.2,3.4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,0
1197,3.75,4,3.75,.,3.2,4,3.8,.,4,4,4,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,.,.,.,.,.,.,.,.,.,1,0
1198,2.5,.,.,.,2.2,.,.,.,2,3,1,4,1,4,1,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1199,3.75,3.25,3.75,3.75,3.8,3.6,3.6,3.6,4,4,3,4,4,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,3,3,4,4,4,1,0
1200,3,3.5,3.5,3.75,3.8,3.8,4,4,4,3,2,3,4,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,1
1201,3.75,3,3,4,3.6,3.2,3.6,4,4,4,3,4,4,2,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,1,0
1202,2.75,2.75,2.75,3,3.2,3.8,3.6,4,3,3,3,2,3,3,3,3,4,2,3,3,3,3,4,4,4,4,3,2,3,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,0,1
1203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0
1204,2.25,.,3.75,.,2.8,.,3.4,.,3,2,2,2,4,1,3,3,3,.,.,.,.,.,.,.,.,.,4,3,4,4,3,4,4,2,4,.,.,.,.,.,.,.,.,.,1,0
1205,2.75,2.75,3,3,3,3.4,3,3.2,3,3,3,2,4,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,1
1206,2.25,.,.,.,2.2,.,.,.,3,2,2,2,2,1,2,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1207,3,3,3,3,3.6,2.6,2.8,2.8,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,0
1208,2,2,2.75,2.25,2.8,2.6,2.6,2.4,3,2,2,1,3,2,3,3,3,2,3,2,1,3,2,3,1,4,2,3,2,4,3,1,4,2,3,2,3,2,2,2,2,3,2,3,0,1
1209,1.5,2.25,2.25,2.25,2.6,2.4,3.2,2.4,1,2,2,1,2,1,4,3,3,2,2,2,3,1,2,3,3,3,2,1,3,3,3,2,4,3,4,2,2,3,2,1,2,3,3,3,0,1
1210,3.5,3,3,3.25,3.4,3.8,3,3.4,4,4,3,3,4,3,3,3,4,3,3,3,3,4,3,4,4,4,3,3,3,3,4,3,3,3,2,4,3,3,3,4,3,4,3,3,1,0
1211,4,3.75,3.75,3.75,3.4,3,3.6,3.6,4,4,4,4,4,2,4,3,4,4,4,3,4,3,2,4,3,3,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,3,4,1,0
1212,1,1.25,1.25,1,1,1.6,1,1.6,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,1
1213,2.5,2.5,3,4,2.6,2.6,2.8,3.4,3,2,3,2,2,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,1,4,4,4,1,0
1214,4,.,4,4,3.2,.,3.4,3.4,4,4,4,4,4,1,4,3,4,.,.,.,.,.,.,.,.,.,4,4,4,4,4,3,4,2,4,4,4,4,4,4,3,4,3,3,1,0
1215,3,3.25,3,3.5,3.2,3.6,3,3.2,3,3,3,3,4,3,4,2,3,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,4,2,2,3,4,4,3,3,3,4,3,3,1,0
1216,3.25,4,4,.,3.6,3.6,3.6,.,1,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,.,.,.,.,.,.,.,.,.,1,0
1217,4,3.25,3.5,3.25,3.4,3.6,3.4,3,4,4,4,4,4,2,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,4,3,4,4,2,3,3,3,4,3,3,3,3,3,1,0
1218,2,2.75,2.25,.,2.6,3,3,.,1,4,1,2,3,2,4,2,2,3,3,3,2,4,2,3,3,3,2,3,2,2,4,2,3,3,3,.,.,.,.,.,.,.,.,.,0,1
1219,2.75,3.25,3.25,.,3,3,3.8,.,4,3,3,1,4,2,3,3,3,3,3,3,4,4,2,3,3,3,3,3,4,3,4,3,4,4,4,.,.,.,.,.,.,.,.,.,1,0
1220,3,3,3.25,3.5,3,3.4,3.2,3.4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,4,3,3,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,3,1,0
1221,2.5,2.75,3,3,2.8,2.8,2.8,2.8,3,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,0,1
1222,1.75,2,2,1.75,2,2.8,2.6,2.6,2,1,2,2,3,1,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,3,2,3,2,3,2,1,2,2,3,2,3,2,3,0,1
1223,3.25,3.75,3.5,3.25,2.6,2.4,2.6,2.4,3,3,3,4,3,1,4,3,2,4,4,3,4,3,2,2,2,3,4,3,3,4,3,2,2,3,3,3,3,3,4,3,2,2,2,3,1,0
1224,2.75,2.75,3.25,3.25,3.2,2.6,3.2,3.2,3,3,3,2,4,2,3,3,4,3,2,3,3,4,2,1,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,1,0
1225,3,3.75,3,4,2.8,3.6,3.4,4,3,3,3,3,3,2,3,3,3,4,3,4,4,4,3,3,4,4,3,3,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,1,0
1226,2.25,2.25,2.75,3,3.6,2.8,3.4,3.4,2,2,2,3,4,2,4,4,4,3,2,2,2,4,1,3,3,3,3,3,2,3,4,2,4,3,4,3,3,3,3,4,2,4,3,4,0,1
1227,2,.,2.25,2,2.2,.,2,2,2,3,2,1,3,1,3,2,2,.,.,.,.,.,.,.,.,.,2,2,3,2,2,1,3,2,2,2,2,2,2,3,1,2,2,2,0,1
1228,3,3,3,.,3.4,3.4,3.4,.,3,3,3,3,4,1,4,4,4,3,3,3,3,3,2,4,4,4,3,3,3,3,4,3,3,3,4,.,.,.,.,.,.,.,.,.,1,0
1229,3,3,2.75,3,2.6,2.8,2,2.6,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,4,3,3,2,4,3,2,2,1,2,3,2,3,3,3,3,3,1,3,3,3,0,1
1230,2.75,2.75,3.5,3.5,3.2,2.8,3,2.8,3,3,2,3,4,3,3,3,3,3,2,3,3,4,3,2,2,3,3,3,4,4,4,2,3,3,3,4,3,3,4,4,2,2,3,3,0,1
1231,2,2,1.75,2,2.8,2.6,2.4,2.2,2,2,2,2,4,1,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,1,2,1,3,3,3,2,2,2,2,2,2,3,2,2,0,1
1232,2.75,.,4,3,2.8,.,2.8,2.8,3,3,3,2,3,2,4,2,3,.,.,.,.,.,.,.,.,.,4,4,4,4,4,1,3,2,4,3,3,2,4,3,2,4,2,3,1,0
1233,2.75,3.25,3.5,3.5,3.4,3.2,3.6,3.2,3,3,2,3,4,2,4,3,4,3,3,3,4,3,2,4,3,4,4,3,3,4,4,3,4,3,4,3,4,3,4,4,3,3,3,3,1,0
1234,2,2,2,2,2.8,2.6,3,2.4,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,3,4,3,2,2,2,2,3,1,2,3,3,0,1
1235,.,2.5,.,2.75,.,2,.,3.2,.,.,.,.,.,.,.,.,.,4,1,3,2,1,4,1,1,3,.,.,.,.,.,.,.,.,.,4,4,1,2,4,3,1,4,4,0,1
1236,.,4,2.5,2.75,.,3,3,2.8,.,.,.,.,.,.,.,.,.,4,4,4,4,4,2,3,3,3,3,3,2,2,3,4,3,3,2,3,3,2,3,3,2,3,3,3,1,0
1237,.,3,3,3,.,3.2,3,2.4,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,4,2,1,1,4,1,0
1238,.,3.5,.,.,.,2.4,.,.,.,.,.,.,.,.,.,.,.,3,4,3,4,1,3,4,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1239,.,4,.,.,.,2.8,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,2,2,3,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1240,.,2.75,3.25,3.5,.,3.2,3,3,.,.,.,.,.,.,.,.,.,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,0,1
1241,.,2.75,3.25,4,.,3.4,3.6,3.6,.,.,.,.,.,.,.,.,.,3,3,3,2,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,1,0
1242,.,2.25,.,3,.,2.8,.,2.2,.,.,.,.,.,.,.,.,.,3,2,2,2,4,2,3,2,3,.,.,.,.,.,.,.,.,.,3,3,3,3,3,1,2,3,2,0,1
1243,.,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1244,.,2,1.75,2,.,3,3.2,3.2,.,.,.,.,.,.,.,.,.,2,2,2,2,2,3,3,3,4,2,2,2,1,3,2,4,3,4,2,2,2,2,3,3,3,4,3,0,1
1245,.,.,1.25,.,.,.,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,2,3,1,1,.,.,.,.,.,.,.,.,.,0,1
1246,.,.,3.25,.,.,.,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,1,4,1,4,4,4,.,.,.,.,.,.,.,.,.,1,0
1247,.,.,2.25,3.25,.,.,2.6,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,3,3,4,2,3,2,2,4,2,4,3,3,2,4,3,3,1,0
1248,.,.,2,.,.,.,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,1,4,3,2,.,.,.,.,.,.,.,.,.,0,1
1249,.,.,2,2.75,.,.,2.6,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,3,3,3,3,2,2,4,4,3,1,2,1,1,0
1250,.,.,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,4,4,4,4,3,1,3,.,.,.,.,.,.,.,.,.,0,1
1251,.,.,2.75,2.75,.,.,2.6,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3,3,3,3,1,3,4,2,3,3,3,2,3,1,3,2,1,1,0
1252,.,.,2.25,2,.,.,2.4,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3,2,2,1,3,2,3,3,3,3,1,1,2,1,4,3,2,1,0
1253,.,.,1.5,1.5,.,.,1.8,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,3,1,1,1,1,2,4,1,1,1,3,1,1,1,1,4,1,1,0
1254,.,.,3.5,.,.,.,3.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4,3,4,3,3,4,4,4,.,.,.,.,.,.,.,.,.,1,0
1255,.,.,3.25,2,.,.,1.6,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,4,1,1,2,2,2,2,2,2,2,1,1,3,3,3,1,0
1256,.,.,.,2.5,.,.,.,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,2,2,2,2,3,3,2,3,0,1
1257,.,.,.,3.75,.,.,.,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,3,4,4,4,3,4,4,1,0
1258,.,.,.,1.75,.,.,.,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,2,2,3,1,2,2,3,0,1
1259,.,.,.,2.75,.,.,.,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,3,3,4,3,1,2,3,1,0
1260,.,.,.,2.75,.,.,.,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,2,2,3,1,4,3,2,1,0
1261,.,.,.,3,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,3,2,3,2,1,1,3,1,0
1262,.,.,.,3,.,.,.,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4,3,2,1,3,3,4,3,1,0
1263,.,.,.,2.75,.,.,.,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,1,4,4,4,2,2,2,1,0
1354,.,.,.,3.75,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,4,4,4,4,4,4,4,1,0
